pod_num,deploy_time,ready_time,settle_time,pod_status,total_restarts,node_cpu_req,node_cpu_pct,node_mem_req,node_mem_pct,qemu_rss_mb,host_total_mb,host_used_mb,host_free_mb,host_available_mb,all_pods_ok,stress_cpu_actual,stress_mem_actual
1,2026-04-14 03:33:46,2026-04-14 03:33:55,2026-04-14 03:35:25,Running,0,558m,3%,3727Mi,6%,N/A,0,0,0,0,OK,451m,1832
2,2026-04-14 03:35:37,2026-04-14 03:35:43,2026-04-14 03:37:13,Running,0,912m,5%,5818Mi,9%,N/A,0,0,0,0,OK,451m,1832
3,2026-04-14 03:37:26,2026-04-14 03:37:33,2026-04-14 03:39:03,Running,0,1322m,8%,7916Mi,13%,N/A,0,0,0,0,OK,453m,1807
4,2026-04-14 03:39:17,2026-04-14 03:39:23,2026-04-14 03:40:53,Running,0,1736m,10%,10031Mi,17%,N/A,0,0,0,0,OK,451m,1832
5,2026-04-14 03:41:08,2026-04-14 03:41:14,2026-04-14 03:42:44,Running,0,2219m,13%,12111Mi,20%,N/A,0,0,0,0,OK,452m,1782
6,2026-04-14 03:42:59,2026-04-14 03:43:06,2026-04-14 03:44:36,Running,0,2737m,17%,14364Mi,24%,N/A,0,0,0,0,OK,450m,1832
7,2026-04-14 03:44:52,2026-04-14 03:44:58,2026-04-14 03:46:28,Running,0,3048m,19%,16479Mi,28%,N/A,0,0,0,0,OK,453m,1807
8,2026-04-14 03:46:45,2026-04-14 03:46:52,2026-04-14 03:48:22,Running,0,3464m,21%,18562Mi,31%,N/A,0,0,0,0,OK,453m,1832
9,2026-04-14 03:48:39,2026-04-14 03:48:46,2026-04-14 03:50:16,Running,0,3870m,24%,20740Mi,35%,N/A,0,0,0,0,OK,451m,1820
10,2026-04-14 03:50:34,2026-04-14 03:50:41,2026-04-14 03:52:11,Running,0,4381m,27%,22918Mi,39%,N/A,0,0,0,0,OK,451m,1807
11,2026-04-14 03:52:30,2026-04-14 03:52:36,2026-04-14 03:54:06,Running,0,4838m,30%,25009Mi,42%,N/A,0,0,0,0,OK,452m,1807
12,2026-04-14 03:54:26,2026-04-14 03:54:33,2026-04-14 03:56:03,Running,0,5016m,31%,27185Mi,46%,N/A,0,0,0,0,OK,453m,1831
13,2026-04-14 03:56:23,2026-04-14 03:56:30,2026-04-14 03:58:00,Running,0,5336m,33%,29347Mi,50%,N/A,0,0,0,0,OK,453m,1832
14,2026-04-14 03:58:21,2026-04-14 03:58:28,2026-04-14 03:59:58,Running,0,5598m,35%,31435Mi,53%,N/A,0,0,0,0,OK,452m,1832
15,2026-04-14 04:00:20,2026-04-14 04:00:27,2026-04-14 04:01:57,Running,0,6026m,37%,33521Mi,57%,N/A,0,0,0,0,OK,453m,1831
16,2026-04-14 04:02:20,2026-04-14 04:02:27,2026-04-14 04:03:57,Running,0,6231m,39%,35747Mi,61%,N/A,0,0,0,0,OK,452m,1832
17,2026-04-14 04:04:21,2026-04-14 04:04:28,2026-04-14 04:05:58,Running,0,6797m,42%,37907Mi,64%,N/A,0,0,0,0,OK,451m,1832
18,2026-04-14 04:06:22,2026-04-14 04:06:29,2026-04-14 04:07:59,Running,0,7226m,45%,40031Mi,68%,N/A,0,0,0,0,OK,451m,1807
19,2026-04-14 04:08:24,2026-04-14 04:08:31,2026-04-14 04:10:01,Running,0,7630m,48%,42204Mi,72%,N/A,0,0,0,0,OK,452m,1832
20,2026-04-14 04:10:27,2026-04-14 04:10:34,2026-04-14 04:12:04,Running,0,8193m,51%,44343Mi,75%,N/A,0,0,0,0,OK,453m,1807
21,2026-04-14 04:12:31,2026-04-14 04:12:38,2026-04-14 04:14:08,Running,0,8595m,54%,46456Mi,79%,N/A,0,0,0,0,OK,450m,1806
22,2026-04-14 04:14:35,2026-04-14 04:14:41,2026-04-14 04:16:11,Running,0,9122m,57%,48568Mi,82%,N/A,0,0,0,0,OK,451m,1807
23,2026-04-14 04:16:39,2026-04-14 04:16:48,2026-04-14 04:18:18,Running,0,9563m,60%,50932Mi,86%,N/A,0,0,0,0,OK,451m,1832
24,2026-04-14 04:18:47,2026-04-14 04:18:53,2026-04-14 04:20:23,Running,0,9907m,62%,52983Mi,90%,N/A,0,0,0,0,OK,451m,1832
